state_ut_name,ac_no,ac_name,sex,age,category,party,symbol,general,postal,total,pct_votes_polled,total_electors,candidate_no,candidate_name
WEST BENGAL,12,ALIPURDUARS,FEMALE,39.0,GENERAL,IND,CALCULATOR,1384,9,1393,0.63,260652.0,6,RINKU GHOSH
WEST BENGAL,12,ALIPURDUARS,MALE,55.0,GENERAL,SUCI,Battery torch,1090,21,1111,0.5,260652.0,7,PIJUSH KANTI SARMA
WEST BENGAL,12,ALIPURDUARS,MALE,39.0,SC,IND,Boat with Man and Sail,677,19,696,0.31,260652.0,8,ASHIM ROY
WEST BENGAL,12,ALIPURDUARS,MALE,42.0,SC,IND,COCONUT FARM,613,7,620,0.28,260652.0,9,KUSHAL KUMAR ROY
WEST BENGAL,12,ALIPURDUARS,MALE,58.0,GENERAL,IND,Table,267,3,270,0.12,260652.0,10,ABINASH DAS
TURN OUT,,,,,TOTAL:,,,219217,3515,222732,85.45,,,
WEST BENGAL,13,FALAKATA,MALE,46.0,SC,BJP,Lotus,101833,1160,102993,46.71,254554.0,1,DIPAK BARMAN
WEST BENGAL,13,FALAKATA,MALE,49.0,SC,AITC,Flowers and Grass,98181,822,99003,44.9,254554.0,2,SUBHASH CHANDRA ROY
WEST BENGAL,13,FALAKATA,MALE,51.0,SC,CPI(M),"Hammer, Sickle and Star",10496,276,10772,4.89,254554.0,3,KSHITISH CHANDRA RAY
WEST BENGAL,13,FALAKATA,,,,NOTA,NOTA,1964,6,1970,0.89,254554.0,4,NOTA
WEST BENGAL,13,FALAKATA,MALE,37.0,SC,IND,Football Player,1675,3,1678,0.76,254554.0,5,DIPAK CHANDRA MANDAL (SANTOSH)
WEST BENGAL,13,FALAKATA,MALE,27.0,SC,IND,SHIP,1639,6,1645,0.75,254554.0,6,SWAPAN ROY
WEST BENGAL,13,FALAKATA,MALE,32.0,SC,SWJP,Football,1367,10,1377,0.62,254554.0,7,TAPAN ADHIKARI
WEST BENGAL,13,FALAKATA,MALE,63.0,SC,SUCI,Battery torch,608,5,613,0.28,254554.0,8,TARANI ROY
WEST BENGAL,13,FALAKATA,MALE,55.0,SC,AMB,Triangle,446,3,449,0.2,254554.0,9,BIMAL ROY
